sysnum,title
002478949,"[A Perilous Venture; or, the Days of Mary of Burgundy. Translated from the German [“Teuerdank's Brautfahrt”] by M. Hall, etc.]"
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc"
003829292,La France aux colonies
003537490,The Poems of Sir John Suckling. (Edited by John Gray and decorated by C. Ricketts.)
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc"
003941799,"Monomotapa, Rhodesia: its monuments, and its history ... With preface by H. R. Haggard. Maps and plates"
000495563,[The Story of Africa and its Explorers. [With plates and maps.]]
002433861,Maxwell's Guide Book to the Stewartry of Kirkcudbright. Sixth edition
001820978,The Alhambra ... With an introduction by E. R. Pennell. Illustrated with drawings of the places mentioned by J. Pennell
002493147,"By-gone Glasgow ... Forty full-page drawings and twenty-three text illustrations by D. Small, etc"
002976927,Every-day Characters ... Illustrated by C. Aldin
003837630,An Itinerant in the British Isles
003757808,Baranya multja és jelenje. [With illustrations and a map.]
003775837,"У Болгаръ и заграницей, 1881-1893 ... Продолженіе очерковъ “Дома и на Войнѣ” ... Изданіе второе"
000034575,Sedbergh School Songs. Written and illustrated by R. St. J. Ainslie
002110298,A local guide to Ashburton and its neighbourhood. By H. J. B. L. [i.e. Harry J. B. Lee.]
000489690,[A Treatise on Mine-surveying ... With ... diagrams.]
000015282,The Growth of the French Nation
002784658,Notes in Japan ... With illustrations by the author
000749400,"[Windsor Castle. Official and authorized royal guide ... Illustrated, etc.]"
000433881,"Recherches sur Fontainebleau. Précédées d'un portrait de l'auteur et d'un manuscrit inédit de N. de Fer, 1699. [Articles reprinted from the “Abeille de Fontainebleau,” edited by Maurice Bourges.]"
000500923,"Economic History of Virginia in the Seventeenth Century. An inquiry into the material condition of the people, based upon original and contemporaneous records"
000760332,"History of Concord, New Hampshire, from the original grant in seventeen hundred and twenty-five to the opening of the twentieth century. Prepared under the supervision of the City History Commission. James O. Lyford, editor"
002976927,Every-day Characters ... Illustrated by C. Aldin
000129010,"Hyde Park from Domesday-Book to date, etc"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
000433666,The Century of Louis XIV. Its arts-its ideas. From the French ... by Mrs. Cashel Hoey. [With plates.]
003757808,Baranya multja és jelenje. [With illustrations and a map.]
003257008,A Noble Wife. A novel
002068503,"A Monk of Fife. Being the chronicle written by Norman Leslie of Pitcullo concerning marvellous deeds that befell in the realm of France in the years of our Redemption, 1429-31. Now first done into the English out of the French by Andrew Lang"
000995837,"From Chaos to the Charter. A complete history of Royal Leamington Spa, etc"
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
000433665,"Le Grand siècle. Louis XIV. Les arts, les idées, etc. [With plates.]"
003220840,Un Mois dans le grand-duché de Luxembourg. Notes d'un touriste
001598528,Rambles in Galloway. (Second edition.) L.P
000138105,"Les Fiefs du Bourbonnais. La Palisse, etc. (Moulins, rive droite de l'Allier.)"
000598049,"[Illustrated Official Handbook of the Cape and South Africa. A résumé of the history, conditions, populations, productions, and resources of the several colonies, states, and territories. Edited by John Noble. [With a map.]]"
000369579,Anthony Blake's Experiment. [A novel. By Alice O'Brien.]
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
002811691,The Witch-Finder. [A novel.]
000571275,"The Way about Herefordshire ... Written by C. Caldicott and illustrated by C. Caldicott and A. E. Caldicott. With a comprehensive county gazetteer, edited by A. Baines. (2nd edition.)"
001704007,"Genom Sveriges Bygder. Skildringar af vårt land och folk ... Tredje upplagan, genomsedd och tillökad af J. P. Velander. Med 545 illustrationer"
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
003581310,Elementary Physical Geography
002709073,The Barton House Conspiracy: a tale of 1886
003954016,"Gray Days and Gold ... New edition, revised, with illustrations"
003757808,Baranya multja és jelenje. [With illustrations and a map.]
002478949,"[A Perilous Venture; or, the Days of Mary of Burgundy. Translated from the German [“Teuerdank's Brautfahrt”] by M. Hall, etc.]"
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
001663251,"Der Dom zu Halberstadt. Seine Geschichte und seine Schätze, etc"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
003501199,[A Child's Garden of Verses ... Second edition.]
003430223,"The Web of an old Weaver, etc"
001707852,The Sister Dominions. Through Canada to Australia by the new imperial highway
002903060,"A Treatise on Ore Deposits ... Second edition, rewritten and greatly enlarged by H. Louis, etc"
001566036,The Mystic Flowery Land. A personal narrative [of a visit to China] ... With notes by the author and numerous illustrations
001144078,"Conquest of the Country Northwest of the River Ohio, 1778-1783, and life of Gen. George Rogers Clark. Over one hundred and twenty-five illustrations. With numerous sketches of men who served under Clark, etc"
000489690,[A Treatise on Mine-surveying ... With ... diagrams.]
001704007,"Genom Sveriges Bygder. Skildringar af vårt land och folk ... Tredje upplagan, genomsedd och tillökad af J. P. Velander. Med 545 illustrationer"
000976404,The Bloom of Faded Years. [A novel.]
000966598,"Darkest Russia. A novel ... from the ... play of that name written by Mr. Donnelly, etc"
000523183,Le Saguenay et le bassin du Lac Saint-Jean. Ouvrage historique et descriptif. Troisième édition. [With plates.]
003265383,"The Township of Scarboro, 1796-1896. Edited by David Boyle. [With plates.]"
003581310,Elementary Physical Geography
